id,height,weight,base_exp
1,7,69,64
2,10,130,142
3,20,1000,236
4,6,85,62
5,11,190,142
6,17,905,240
7,5,90,63
8,10,225,142
9,16,855,239
10,3,29,39
11,7,99,72
12,11,320,178
13,3,32,39
14,6,100,72
15,10,295,178
16,3,18,50
17,11,300,122
18,15,395,216
19,3,35,51
20,7,185,145
21,3,20,52
22,12,380,155
23,20,69,58
24,35,650,157
25,4,60,112
26,8,300,218
27,6,120,60
28,10,295,158
29,4,70,55
30,8,200,128
31,13,600,227
32,5,90,55
33,9,195,128
34,14,620,227
35,6,75,113
36,13,400,217
37,6,99,60
38,11,199,177
39,5,55,95
40,10,120,196
41,8,75,49
42,16,550,159
43,5,54,64
44,8,86,138
45,12,186,221
46,3,54,57
47,10,295,142
48,10,300,61
49,15,125,158
50,2,8,53
51,7,333,149
52,4,42,58
53,10,320,154
54,8,196,64
55,17,766,175
56,5,280,61
57,10,320,159
58,7,190,70
59,19,1550,194
60,6,124,60
61,10,200,135
62,13,540,230
63,9,195,62
64,13,565,140
65,15,480,225
66,8,195,61
67,15,705,142
68,16,1300,227
69,7,40,60
70,10,64,137
71,17,155,221
72,9,455,67
73,16,550,180
74,4,200,60
75,10,1050,137
76,14,3000,223
77,10,300,82
78,17,950,175
79,12,360,63
80,16,785,172
81,3,60,65
82,10,600,163
83,8,150,132
84,14,392,62
85,18,852,165
86,11,900,65
87,17,1200,166
88,9,300,65
89,12,300,175
90,3,40,61
91,15,1325,184
92,13,1,62
93,16,1,142
94,15,405,225
95,88,2100,77
96,10,324,66
97,16,756,169
98,4,65,65
99,13,600,166
100,5,104,66
101,12,666,172
102,4,25,65
103,20,1200,186
104,4,65,64
105,10,450,149
106,15,498,159
107,14,502,159
108,12,655,77
109,6,10,68
110,12,95,172
111,10,1150,69
112,19,1200,170
113,11,346,395
114,10,350,87
115,22,800,172
116,4,80,59
117,12,250,154
118,6,150,64
119,13,390,158
120,8,345,68
121,11,800,182
122,13,545,161
123,15,560,100
124,14,406,159
125,11,300,172
126,13,445,173
127,15,550,175
128,14,884,172
129,9,100,40
130,65,2350,189
131,25,2200,187
132,3,40,101
133,3,65,65
134,10,290,184
135,8,245,184
136,9,250,184
137,8,365,79
138,4,75,71
139,10,350,173
140,5,115,71
141,13,405,173
142,18,590,180
143,21,4600,189
144,17,554,261
145,16,526,261
146,20,600,261
147,18,33,60
148,40,165,147
149,22,2100,270
150,20,1220,306
151,4,40,270
152,9,64,64
153,12,158,142
154,18,1005,236
155,5,79,62
156,9,190,142
157,17,795,240
158,6,95,63
159,11,250,142
160,23,888,239
161,8,60,43
162,18,325,145
163,7,212,52
164,16,408,158
165,10,108,53
166,14,356,137
167,5,85,50
168,11,335,140
169,18,750,241
170,5,120,66
171,12,225,161
172,3,20,41
173,3,30,44
174,3,10,42
175,3,15,49
176,6,32,142
177,2,20,64
178,15,150,165
179,6,78,56
180,8,133,128
181,14,615,230
182,4,58,221
183,4,85,88
184,8,285,189
185,12,380,144
186,11,339,225
187,4,5,50
188,6,10,119
189,8,30,207
190,8,115,72
191,3,18,36
192,8,85,149
193,12,380,78
194,4,85,42
195,14,750,151
196,9,265,184
197,10,270,184
198,5,21,81
199,20,795,172
200,7,10,87
201,5,50,118
202,13,285,142
203,15,415,159
204,6,72,58
205,12,1258,163
206,15,140,145
207,11,648,86
208,92,4000,179
209,6,78,60
210,14,487,158
211,5,39,88
212,18,1180,175
213,6,205,177
214,15,540,175
215,9,280,86
216,6,88,66
217,18,1258,175
218,7,350,50
219,8,550,151
220,4,65,50
221,11,558,158
222,6,50,144
223,6,120,60
224,9,285,168
225,9,160,116
226,21,2200,170
227,17,505,163
228,6,108,66
229,14,350,175
230,18,1520,243
231,5,335,66
232,11,1200,175
233,6,325,180
234,14,712,163
235,12,580,88
236,7,210,42
237,14,480,159
238,4,60,61
239,6,235,72
240,7,214,73
241,12,755,172
242,15,468,608
243,19,1780,261
244,21,1980,261
245,20,1870,261
246,6,720,60
247,12,1520,144
248,20,2020,270
249,52,2160,306
250,38,1990,306
251,6,50,270
252,5,50,62
253,9,216,142
254,17,522,239
255,4,25,62
256,9,195,142
257,19,520,239
258,4,76,62
259,7,280,142
260,15,819,241
261,5,136,56
262,10,370,147
263,4,175,56
