id,gen,evolves_from,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,growth_rate,is_legendary,is_mythical
1,1,,1,45,70,0,20,4,0,0
2,1,1,1,45,70,0,20,4,0,0
3,1,2,1,45,70,0,20,4,0,0
4,1,,1,45,70,0,20,4,0,0
5,1,4,1,45,70,0,20,4,0,0
6,1,5,1,45,70,0,20,4,0,0
7,1,,1,45,70,0,20,4,0,0
8,1,7,1,45,70,0,20,4,0,0
9,1,8,1,45,70,0,20,4,0,0
10,1,,4,255,70,0,15,2,0,0
11,1,10,4,120,70,0,15,2,0,0
12,1,11,4,45,70,0,15,2,0,0
13,1,,4,255,70,0,15,2,0,0
14,1,13,4,120,70,0,15,2,0,0
15,1,14,4,45,70,0,15,2,0,0
16,1,,4,255,70,0,15,4,0,0
17,1,16,4,120,70,0,15,4,0,0
18,1,17,4,45,70,0,15,4,0,0
19,1,,4,255,70,0,15,2,0,0
20,1,19,4,127,70,0,15,2,0,0
21,1,,4,255,70,0,15,2,0,0
22,1,21,4,90,70,0,15,2,0,0
23,1,,4,255,70,0,20,2,0,0
24,1,23,4,90,70,0,20,2,0,0
25,1,172,4,190,70,0,10,2,0,0
26,1,25,4,75,70,0,10,2,0,0
27,1,,4,255,70,0,20,2,0,0
28,1,27,4,90,70,0,20,2,0,0
29,1,,8,235,70,0,20,4,0,0
30,1,29,8,120,70,0,20,4,0,0
31,1,30,8,45,70,0,20,4,0,0
32,1,,0,235,70,0,20,4,0,0
33,1,32,0,120,70,0,20,4,0,0
34,1,33,0,45,70,0,20,4,0,0
35,1,173,6,150,140,0,10,3,0,0
36,1,35,6,25,140,0,10,3,0,0
37,1,,6,190,70,0,20,2,0,0
38,1,37,6,75,70,0,20,2,0,0
39,1,174,6,170,70,0,10,3,0,0
40,1,39,6,50,70,0,10,3,0,0
41,1,,4,255,70,0,15,2,0,0
42,1,41,4,90,70,0,15,2,0,0
43,1,,4,255,70,0,20,4,0,0
44,1,43,4,120,70,0,20,4,0,0
45,1,44,4,45,70,0,20,4,0,0
46,1,,4,190,70,0,20,2,0,0
47,1,46,4,75,70,0,20,2,0,0
48,1,,4,190,70,0,20,2,0,0
49,1,48,4,75,70,0,20,2,0,0
50,1,,4,255,70,0,20,2,0,0
51,1,50,4,50,70,0,20,2,0,0
52,1,,4,255,70,0,20,2,0,0
53,1,52,4,90,70,0,20,2,0,0
54,1,,4,190,70,0,20,2,0,0
55,1,54,4,75,70,0,20,2,0,0
56,1,,4,190,70,0,20,2,0,0
57,1,56,4,75,70,0,20,2,0,0
58,1,,2,190,70,0,20,1,0,0
59,1,58,2,75,70,0,20,1,0,0
60,1,,4,255,70,0,20,4,0,0
61,1,60,4,120,70,0,20,4,0,0
62,1,61,4,45,70,0,20,4,0,0
63,1,,2,200,70,0,20,4,0,0
